iter	Passed	Remaining
401	18121	26956
402	18171	26918
403	18215	26872
404	18260	26826
405	18301	26776
406	18344	26728
407	18386	26678
408	18430	26631
409	18479	26591
410	18529	26553
411	18576	26511
412	18620	26465
413	18661	26414
414	18707	26370
415	18748	26320
416	18791	26271
417	18832	26221
418	18874	26171
419	18920	26128
420	18962	26079
421	19007	26033
422	19054	25991
423	19101	25949
424	19163	25927
425	19206	25879
426	19249	25830
427	19292	25783
428	19333	25733
429	19377	25686
430	19421	25639
431	19463	25590
432	19509	25546
433	19550	25496
434	19590	25445
435	19633	25397
436	19676	25349
437	19721	25304
438	19764	25256
439	19814	25218
440	19863	25178
441	19906	25131
442	19949	25083
443	19997	25041
444	20041	24995
445	20087	24951
446	20128	24902
447	20184	24869
448	20230	24826
449	20272	24777
450	20313	24727
451	20353	24676
452	20395	24627
453	20438	24580
454	20480	24531
455	20524	24484
456	20566	24436
457	20606	24386
458	20648	24337
459	20690	24289
460	20732	24239
461	20771	24188
462	20817	24144
463	20861	24098
464	20906	24054
465	20948	24005
466	20990	23956
467	21034	23910
468	21079	23866
469	21119	23816
470	21183	23792
471	21236	23756
472	21290	23720
473	21342	23684
474	21391	23643
475	21434	23595
476	21477	23548
477	21519	23500
478	21564	23455
479	21606	23406
480	21649	23360
481	21698	23318
482	21751	23282
483	21804	23245
484	21857	23209
485	21904	23166
486	21948	23120
487	21990	23071
488	22035	23027
489	22085	22986
490	22147	22959
491	22212	22934
492	22260	22892
493	22319	22862
494	22368	22819
495	22419	22781
496	22467	22738
497	22515	22696
498	22564	22655
499	22608	22608
500	22657	22567
501	22706	22525
502	22755	22483
503	22807	22445
504	22859	22406
505	22934	22390
506	22983	22348
507	23034	22309
508	23082	22266
509	23132	22225
510	23207	22208
511	23261	22171
512	23313	22131
513	23355	22083
514	23405	22041
515	23468	22012
516	23525	21978
517	23576	21937
518	23620	21891
519	23667	21846
520	23727	21814
521	23779	21775
522	23833	21737
523	23903	21713
524	23946	21666
525	24020	21645
526	24062	21597
527	24121	21562
528	24179	21528
529	24273	21525
530	24324	21484
531	24380	21447
532	24430	21404
533	24476	21359
534	24535	21324
535	24600	21296
536	24671	21271
537	24713	21222
538	24754	21172
539	24794	21121
540	24835	21071
541	24882	21026
542	24932	20983
543	24980	20939
544	25045	20909
545	25102	20872
546	25157	20834
547	25203	20788
548	25266	20756
549	25313	20711
550	25361	20666
551	25407	20620
552	25491	20605
553	25553	20571
554	25621	20543
555	25668	20497
556	25715	20452
557	25785	20425
558	25839	20384
559	25890	20342
560	25934	20294
561	25978	20246
562	26018	20195
563	26068	20151
564	26126	20114
565	26186	20079
566	26255	20050
567	26319	20017
568	26361	19968
569	26406	19920
570	26447	19870
571	26490	19821
572	26533	19772
573	26576	19724
574	26619	19675
575	26660	19625
576	26703	19576
577	26769	19544
578	26849	19522
579	26898	19478
580	26939	19428
581	26983	19380
582	27030	19333
583	27073	19284
584	27117	19236
585	27161	19189
586	27201	19138
587	27243	19088
588	27284	19038
589	27339	18998
590	27380	18948
591	27435	18908
592	27483	18863
593	27538	18822
594	27588	18778
595	27631	18730
596	27685	18688
597	27727	18639
598	27769	18590
599	27814	18542
600	27854	18492
601	27897	18444
602	27944	18398
603	27986	18348
604	28029	18300
605	28071	18251
606	28111	18200
607	28162	18157
608	28210	18112
609	28253	18063
610	28307	18022
611	28365	17983
612	28408	17935
613	28450	17885
614	28495	17838
615	28540	17791
616	28584	17743
617	28634	17699
618	28673	17648
619	28714	17598
620	28755	17549
621	28799	17502
622	28852	17459
623	28891	17409
624	28932	17359
625	28973	17310
626	29013	17259
627	29054	17210
628	29096	17161
629	29149	17119
630	29198	17074
631	29250	17031
632	29299	16987
633	29362	16950
634	29409	16904
635	29457	16859
636	29505	16813
637	29554	16769
638	29603	16724
639	29653	16679
640	29695	16631
641	29739	16583
642	29787	16538
643	29828	16488
644	29871	16440
645	29911	16391
646	29954	16343
647	29997	16295
648	30047	16250
649	30103	16209
650	30153	16165
651	30199	16118
652	30276	16088
653	30319	16040
654	30362	15992
655	30418	15951
656	30461	15903
657	30509	15857
658	30557	15811
659	30604	15766
660	30652	15720
661	30699	15674
662	30747	15628
663	30792	15581
664	30836	15534
665	30880	15486
666	30922	15438
667	30963	15388
668	31004	15339
669	31047	15292
670	31091	15244
671	31135	15197
672	31180	15150
673	31221	15101
674	31264	15053
675	31307	15005
676	31348	14956
677	31389	14907
678	31430	14859
679	31490	14818
680	31545	14776
681	31595	14732
682	31648	14689
683	31700	14645
684	31761	14605
685	31803	14557
686	31845	14508
687	31887	14460
688	31927	14411
689	31969	14362
690	32010	14314
691	32053	14266
692	32095	14218
693	32143	14172
694	32203	14132
695	32248	14085
696	32295	14039
697	32343	13993
698	32400	13952
699	32462	13912
700	32522	13871
701	32564	13823
702	32611	13777
703	32664	13734
704	32708	13686
705	32749	13637
706	32795	13591
707	32841	13544
708	32884	13497
709	32930	13450
710	32976	13403
711	33019	13356
712	33064	13309
713	33110	13262
714	33154	13215
715	33204	13170
716	33254	13125
717	33307	13081
718	33374	13043
719	33429	13000
720	33477	12954
721	33537	12913
722	33590	12869
723	33641	12824
724	33693	12780
725	33746	12736
726	33796	12690
727	33856	12649
728	33917	12608
729	33980	12568
730	34022	12519
731	34062	12471
732	34103	12422
733	34151	12376
734	34213	12335
735	34277	12295
736	34337	12253
737	34388	12208
738	34429	12159
739	34470	12111
740	34516	12064
741	34603	12032
742	34651	11985
743	34706	11942
744	34750	11894
745	34793	11846
746	34841	11800
747	34882	11751
748	34923	11703
749	34997	11665
750	35051	11621
751	35106	11577
752	35149	11529
753	35190	11481
754	35232	11432
755	35274	11384
756	35317	11337
757	35370	11292
758	35426	11248
759	35480	11204
760	35529	11158
761	35593	11117
762	35636	11069
763	35679	11021
764	35725	10974
765	35772	10927
766	35817	10880
767	35864	10834
768	35918	10789
769	35978	10746
770	36034	10702
771	36104	10662
772	36153	10616
773	36203	10570
774	36247	10523
775	36287	10474
776	36330	10426
777	36384	10382
778	36437	10337
779	36487	10291
780	36539	10246
781	36582	10198
782	36648	10156
783	36687	10107
784	36727	10059
785	36769	10010
786	36809	9962
787	36854	9915
788	36897	9867
789	36939	9819
790	36994	9774
791	37072	9736
792	37149	9697
793	37193	9649
794	37240	9602
795	37304	9560
796	37358	9515
797	37410	9469
798	37452	9421
799	37491	9372
800	37536	9325
801	37603	9283
802	37696	9248
803	37759	9204
804	37810	9159
805	37866	9114
806	37919	9068
807	37965	9021
808	38018	8975
809	38066	8929
810	38122	8884
811	38199	8844
812	38249	8797
813	38293	8750
814	38338	8702
815	38383	8655
816	38429	8607
817	38483	8562
818	38529	8515
819	38579	8468
820	38625	8421
821	38675	8374
822	38741	8332
823	38789	8285
824	38832	8237
825	38874	8189
826	38917	8141
827	38959	8092
828	39003	8045
829	39050	7998
830	39095	7950
831	39142	7903
832	39191	7857
833	39239	7810
834	39287	7763
835	39332	7715
836	39380	7669
837	39423	7621
838	39473	7574
839	39516	7526
840	39561	7479
841	39602	7431
842	39646	7383
843	39691	7336
844	39757	7292
845	39802	7245
846	39855	7199
847	39896	7151
848	39937	7103
